,contributor_name,counts
317,diegopetrola,5
318,AlexHarn,5
319,rlung,5
320,kpalin,5
321,ahcub,5
322,Steven Munn,5
323,stilley2,5
324,martinRenou,5
325,habi,5
326,khchan,5
327,vidursatija,5
328,ChrisBeaumont,5
329,myyc,5
330,LevN0,5
331,MatthieuDartiailh,5
332,donchanee,5
333,WarrenWeckesser,5
334,JelsB,5
335,alanbernstein,5
336,Aseem Bansal,5
337,RobinD42,5
338,lazka,5
339,johnnyEmpires,5
340,bingjeff,5
341,switham,5
342,FlorianRhiem,5
343,Ptrskay3,5
344,jayvdb,5
345,tkf,5
346,flothesof,5
347,openturns-appveyor,5
348,ocefpaf,5
349,cammil,5
350,ocastany,5
351,thangleiter,5
352,bblay,5
353,StefRe,5
354,cragm,5
355,JunTan,5
356,danielballan,5
357,nhmc,5
358,vbr,5
359,BHT,5
360,ResidentMario,5
361,AdamWill,5
362,egpbos,5
363,cover-me,5
364,simongibbons,4
365,e-q,4
366,simonpf,4
367,BrennanGit,4
368,epintozzi,4
369,aWinglessMonkey,4
370,abhinuvpitale,4
371,Zair Mubashar,4
372,Bharat123rox,4
373,wackywendell,4
374,Rickkwa,4
375,Andrea Bedini,4
376,Osarumwense,4
377,tohc1,4
378,f0k,4
379,vmarkovtsev,4
380,takluyver,4
381,xcz011,4
382,yongrenjie,4
383,Mottl,4
384,crazyo,4
385,crbates,4
386,danuo,4
387,Víctor Terrón,4
388,surana-mudit,4
389,ahaldane,4
390,Michaël Defferrard,4
391,Ulrich Dobramysl,4
392,djdt,4
393,curiale,4
394,Gabriel Munteanu,4
395,JayP16,4
396,Illviljan,4
397,msabramo,4
398,zhoubecky,4
399,rsnape,4
400,mscross,4
401,ColCarroll,4
402,rishikksh20,4
403,Hoxbro,4
404,high-in-entropy,4
405,hkucukdereli,4
406,rhattersley,4
407,rdimaio,4
408,HubertHolin,4
409,jaimefrio,4
410,gnaggnoyil,4
411,Craig M,4
412,Julien Lhermitte,4
413,pshriwise,4
414,jat255,4
415,jayjoshi112711,4
416,pierre-haessig,4
417,jeffreypaul15,4
418,pavoljuhas,4
419,kalagau,4
420,James A. Bednar,4
421,nils-werner,4
422,nickystringer,4
423,Lewn,4
424,jseabold,4
425,mherkazandjian,4
426,geib7592,4
427,fat-crocodile,4
428,mikhailov-work,4
429,sappelhoff,4
430,fuzzythecat,4
431,Fabian Kloosterman,4
432,Felix Nößler,4
433,Till Stensitzki,4
434,Eugene Yurtsev,4
435,Hans Dembinski,4
436,Ulrich J. Herter,3
437,ardieorden,3
438,EJEP,3
439,Phil Ruffwind,3
440,Scott Lawrence,3
441,andthum,3
442,Peter Williams,3
443,juan.gonzalez,3
444,andyfaff,3
445,aneda,3
446,Simon Cross,3
447,Jack Kelly,3
448,Pete Peterson,3
449,Pete Bachant,3
450,katrielester,3
451,baogianghoangvu,3
452,Tor Colvin,3
453,Pauli Virtanen,3
454,Tom Charrett,3
455,Philipp Arras,3
456,ulijh,3
457,Vincent Cuenca,3
458,juliantaylor,3
459,u55,3
460,Amit Aronovitch,3
461,Patrick Chen,3
462,James Pallister,3
463,JamesMakela,3
464,ZohrehPythonSchool,3
465,Phlya,3
466,andreasWallner,3
467,AmitAronovitch,3
468,Sandro Tosi,3
469,Herbert Kruitbosch,3
470,Trevor Bekolay,3
471,Yunfei Yang,3
472,Randy Olson,3
473,adeak,3
474,Ram Rachum,3
475,znstrider,3
476,Sam Vaughan,3
477,Sam Van Kooten,3
478,Xiaowen Tang,3
479,Quentin Peter,3
480,Stephen Horst,3
481,Robin Neatherway,3
482,kolibril13,3
483,Terence Honles,3
484,William Granados,3
485,navdeep rana,3
486,nbrunett,3
487,Sam Tygier,3
488,lordnapi,3
489,miquelastein,3
490,Gleb Fedorov,3
491,akhilman,3
492,Ingo Fründ,3
493,Scott Lasley,3
494,Vlad Korolev,3
495,Vishnu V K,3
496,vishalBindal,3
497,Transfusion,3
498,krishna katyal,3
499,scopatz,3
500,jrversteegh,3
501,Kyle Sunden,3
502,dpoznik,3
503,Thorvald Johannessen,3
504,Matt Terry,3
505,Matthias Geier,3
506,Levi Kilcher,3
507,Leon Yin,3
508,Maximilian Trescher,3
509,harrymknight,3
510,itoijala,3
511,Kjartan Myrdal,3
512,dj4t9n,3
513,Kexuan Sun,3
514,deepyaman,3
515,ihincks,3
516,Kai Muehlbauer,3
517,Andreas Hilboll,3
518,FrankYu,3
519,Bradley M. Froehle,3
520,gauteh,3
521,frankliuao,3
522,Manuel Nuno Melo,3
523,Marcel Martin,3
524,Marco Rigobello,3
525,scott-vsi,3
526,Marianne Corvellec,3
527,Manan Kevadiya,3
528,Mark Harfouche,3
529,sdementen,3
530,Brigitta Sipocz,3
531,fishmandev,3
532,fkloosterman,3
533,Carloscerq,3
534,emilyfy,3
535,Carwyn Pelley,3
536,Léonard Gérard,3
537,davidtrem,3
538,Mike Jarvis,3
539,jhamrick,3
540,Nora Moseman,3
541,jmc734,3
542,butterw,3
543,Tobias Hoppe,3
544,Niklas Koep,3
545,jni,3
546,joaonsg,3
547,joelfrederico,3
548,Arnaud Gardelein,3
549,teresy,3
550,nwin,3
551,Oleg Selivanov,3
552,tmdavison,3
553,Marat K,3
554,jonchar,3
555,bemclaugh,3
556,DoriMG,3
557,Jirka Hladky,3
558,Marco Gorelli,3
559,chrodan,3
560,jdollichon,3
561,BTWS,3
562,Timo Vanwynsberghe,3
563,jarrodmillman,3
564,chrissshe,3
565,jbhopkins,3
566,pdubcali,3
567,Thomas Levine,3
568,chadawagner,3
569,janaknat,3
570,Julian V. Modesto,3
571,cdeil,3
572,Uwe F. Mayer,2
573,Tyler Makaro,2
574,zitorelova,2
575,Tom,2
576,Ted Petrou,2
577,Thomas Hisch,2
578,zhangeugenia,2
579,Stefano Rivera,2
580,Steven G. Johnson,2
