,contributor_name,counts
309,tatianashp,51
310,sagunb,51
311,minglotus-6,51
312,Daniel Situnayake,50
313,georgepaw,50
314,jiawenhao,50
315,jendap,50
316,mikedelorimier,50
317,Taylor Robie,49
318,Karmel Allison,49
319,sherrym,48
320,vinuraja,48
321,rahul003,47
322,vbardiovskyg,47
323,lindong28,47
324,rahul-kamat,47
325,Sami Kama,47
326,michaelbanfield,47
327,kushanam,47
328,Yixing Fu,46
329,geetachavan1,46
330,tayo,45
331,toponado,45
332,ccrusius,45
333,AdityaKane2001,45
334,RenatoUtsch,44
335,jvishnuvardhan,44
336,Lukasz Kaiser,44
337,bas-aarts,44
338,wdirons,43
339,adriangb,43
340,cantonios,43
341,rinugun,43
342,kmh4321,43
343,doehyun,43
344,DEKHTIARJonathan,42
345,alanyee,42
346,dmitrievanthony,41
347,dzakhar,41
348,yzhwang,41
349,lc0,40
350,autoih,40
351,Dayananda-V,40
352,fsx950223,40
353,joel-shor,40
354,nealwu,40
355,rkuester,40
356,xunkai55,40
357,yacoder,39
358,tfboyd,39
359,Todd Wang,39
360,guschmue,39
361,kyscg,39
362,xinan-jiang,39
363,fayeshine,38
364,ppwwyyxx,38
365,shashvatshahi1998,38
366,Mbah-Javis,37
367,Manjunath Kudlur,37
368,HARI SHANKAR,37
369,kirilg,37
370,kiszk,37
371,lxuechen,36
372,SSaishruthi,36
373,snnn,35
374,itaiz-google,35
375,Yutaka Leon,35
376,Terranlee,35
377,Illia Polosukhin,35
378,Nathan Silberman,34
379,alanchiao,34
380,Molkree,34
381,Bairen Yi,34
382,wchargin,34
383,ssjhv,34
384,avijit-nervana,34
385,taehoonlee,33
386,stephanboner,33
387,ngc92,33
388,sanadamani,33
389,Yaroslav Bulatov,33
390,Ryan Nett,33
391,wangsiyu,33
392,Flamefire,33
393,around-star,33
394,broune,33
395,cezheng,32
396,ringw,32
397,pranavm-nvidia,32
398,yongfeng-nv,32
399,dongjoon-hyun,32
400,fo40225,32
401,Dandelion Man?,32
402,frankchn,32
403,andydavis1,32
404,hari,31
405,Oceania2018,31
406,Chuan He,30
407,petebu,30
408,richard-uhler,30
409,joyalbin,30
410,VoVAllen,30
411,gaurav1086,30
412,theweiho,30
413,msteknoadam,30
414,Jianmin Chen,30
415,xhae,30
416,Abdurrahman Akkas,30
417,Juho Ha,30
